指標編號,內容,面向,條文註解,實施單位建議,政府機關可行動作建議,南投縣
4.1,在西元2030年以前，確保所有的男女學子都完成免費的、公平的以及高品質的小學與中學教育，得到有關且有效的學習成果。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、教育處、原住民族行政處,擴充教育資源、推動教育平權、補助弱勢學童教育經費,教育處中程(112–115年度)施政計畫.南投縣教育處原住民族教育方案.數位學習計畫：一師一載具、生生有平板
4.2,在西元2030年以前，確保所有的孩童都能接受高品質的早期幼兒教育、照護，以及小學前教育，因而為小學的入學作好準備。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、社會與勞動局、教育處、衛生局,擴充教育資源、推動教育平權、補助弱勢學童教育經費,公辦民營托嬰中心計畫.準公共化幼兒教育政策.幼兒專責醫師制度計畫
4.3,在西元2030年以前，確保所有的男女都有公平、負擔得起、高品質的技職、職業與高等教育的受教機會，包括大學。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、教育處、縣府、高中職,擴充教育資源、推動教育平權、補助弱勢學童教育經費,偏遠地區學校產業參訪活動計畫.南投縣技職教育諮詢會設置要點.南投縣學生國際教育獎助學金計畫
4.4,在西元2030年以前，將擁有相關就業、覓得好工作與企業管理職能的年輕人與成人的人數增加x%，包括技術與職業技能。,經濟,如職業訓練課程、青年就業補助。,勞動部、地方就業服務站、企業、社會及勞動局、勞動力發展署中彰投分署南投據點、青發所,設立職訓課程、補助企業聘僱弱勢、推動勞權保障,青年好投路職場實習獎勵與交通補助計畫.青年穩定就業獎勵金計畫.在職青年勞工第二專長職業訓練專班.在職青年勞工職訓專班
4.5,在西元2030年以前，消除教育上的兩性不平等，確保弱勢族群有接受各階級教育的管道與職業訓練，包括身心障礙者、原住民以及弱勢孩童。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、教育處、原住民族行政處、社會及勞動局,擴充教育資源、推動教育平權、補助弱勢學童教育經費,兒童及少年未來教育發展帳戶家庭支持計畫. 教育部「攜手計畫」國中小補救教學方案.南投縣原住民族教育方案.身心障礙者親職教育與職業重建支持計畫
4.6,在西元2030年以前，確保所有的年輕人以及至少x%的成人，不管男女，都具備讀寫以及算術能力。,社會,透過具體政策與行動實現目標。,非營利組織、社福單位、地方政府、教育處、社教科、社大,推動社會融合政策、補助社會服務方案,成人基本教育研習班（識字班）.新住民成人識字雙語研習班.身心障礙成人教育支持
4.7,在西元2030年以前，確保所有的學子都習得必要的知識與技能而可以促進永續發展，包括永續發展教育、人權、性別平等、全球公民等。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、教育處、國中小、觀光處、計劃處、農業處、環境保護局,擴充教育資源、推動教育平權、補助弱勢學童教育經費,南投縣環境教育行動方案.品味南投食農教育推動計畫.教育處 112–115 年施政計畫.戶外教育場域轉型研習及課程輔導工作坊.地方創生與國際教育研討會.程式設計融入資訊科技課程
4.a,建立及提升適合孩童、身心障礙者以及兩性的教育設施，並為所有的人提供安全的、非暴力的、有教無類的、以及有效的學習環境。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、教育處、計劃處,擴充教育資源、推動教育平權、補助弱勢學童教育經費,南投縣政府提升 18 所偏鄉小學校園設施設備升級計畫.校園無障礙設施設置與管理制度. 南投縣特殊教育中程發展計畫
4.b,在西元2020年以前，將全球開發中國家的獎學金數目增加x%，以提高高等教育的受教率。,社會,例如提供免費中小學教育或設立獎學金。,學校、教育部、教育處／國際教育資源中心、縣府,擴充教育資源、推動教育平權、補助弱勢學童教育經費,南投縣學生出國學習獎助學金計畫.國立暨南國際大學南投校區推動計畫
4.c,在西元2030年以前，將合格師資人數增加x%，包括在開發中國家進行國際師資培訓合作。,社會,透過具體政策與行動實現目標。,非營利組織、社福單位、地方政府、教育處、師資培育大學,推動社會融合政策、補助社會服務方案,精進國民中小學教學計畫.科技教育推動總體計畫.學習扶助平台及民間資源增能培訓計畫.偏遠地區代理教師進修學分班計畫
